Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed,Year_Quarter
Kenya,KEN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-29011627.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-17.1832072731028,2021_0
"Korea, Rep.",KOR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,East Asia & Pacific,15.579276013705243,2021_0
Kosovo,XKX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,3196575.0,2021,WDI,Financial Indicators,Europe,14.97759079491128,2021_0
Kyrgyz Republic,KGZ,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,4849276.0,2021,WDI,Financial Indicators,Central Asia,15.39434017963636,2021_0
Latvia,LVA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Lithuania,LTU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Luxembourg,LUX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Malta,MLT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Mauritius,MUS,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8333334.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-15.935774294164345,2021_0
Moldova,MDA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2021,WDI,Financial Indicators,Europe,0.0,2021_0
Nepal,NPL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,9425183.0,2021,WDI,Financial Indicators,South Asia,16.058895813654207,2021_0
Netherlands,NLD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
North Macedonia,MKD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-17559289.0,2021,WDI,Financial Indicators,Europe,-16.681093712551995,2021_0
Norway,NOR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Pakistan,PAK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-6054934.0,2021,WDI,Financial Indicators,South Asia,-15.6163841999819,2021_0
Philippines,PHL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,36363974.0,2021,WDI,Financial Indicators,East Asia & Pacific,17.409089144730526,2021_0
Poland,POL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Portugal,PRT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Romania,ROU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Rwanda,RWA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-14745428.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-16.506443694416614,2021_0
Senegal,SEN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,36259737.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,17.406218537671933,2021_0
Slovak Republic,SVK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Slovenia,SVN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
South Africa,ZAF,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,650256407.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,20.29287731691576,2021_0
Spain,ESP,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Sri Lanka,LKA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-46556164.0,2021,WDI,Financial Indicators,South Asia,-17.656169991156634,2021_0
Sweden,SWE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Switzerland,CHE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Tajikistan,TJK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-4133881.0,2021,WDI,Financial Indicators,Central Asia,-15.234727475033209,2021_0
Thailand,THA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,53267500.0,2021,WDI,Financial Indicators,East Asia & Pacific,17.79083696583483,2021_0
Turkiye,TUR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,50896125.0,2021,WDI,Financial Indicators,Europe,17.74529736860459,2021_0
Uganda,UGA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-26379177.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-17.088085544798286,2021_0
United Kingdom,GBR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Canada,CAN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,North America,18.3726028629721,2022_0
United States,USA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,North America,18.3726028629721,2022_0
Argentina,ARG,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-164032792.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-18.915576923116745,2022_0
Brazil,BRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,1407925192.0,2022,WDI,Financial Indicators,Latin America & Caribbean,21.065382963299225,2022_0
Colombia,COL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,560438913.0,2022,WDI,Financial Indicators,Latin America & Caribbean,20.14423080970224,2022_0
Costa Rica,CRI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-36982559.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-17.42595700813618,2022_0
Dominican Republic,DOM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-45407796.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-17.631194388354043,2022_0
El Salvador,SLV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,17291487.0,2022,WDI,Financial Indicators,Latin America & Caribbean,16.665724915263525,2022_0
Guatemala,GTM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,113202806.0,2022,WDI,Financial Indicators,Latin America & Caribbean,18.54469152024571,2022_0
Honduras,HND,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,56004457.0,2022,WDI,Financial Indicators,Latin America & Caribbean,17.8409418526738,2022_0
Mexico,MEX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-39893582.0,2022,WDI,Financial Indicators,North America,-17.501726041858362,2022_0
Nicaragua,NIC,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-37048134.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-17.427728571057486,2022_0
Paraguay,PRY,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,6666666.0,2022,WDI,Financial Indicators,Latin America & Caribbean,15.712630592850154,2022_0
Peru,PER,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,156573726.0,2022,WDI,Financial Indicators,Latin America & Caribbean,18.8690375560537,2022_0
St. Lucia,LCA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2022,WDI,Financial Indicators,Latin America & Caribbean,0.0,2022_0
Uruguay,URY,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Latin America & Caribbean,18.3726028629721,2022_0
Albania,ALB,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-3797993.0,2022,WDI,Financial Indicators,Europe,-15.149983590574289,2022_0
Armenia,ARM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-37119882.0,2022,WDI,Financial Indicators,Europe,-17.429663313937652,2022_0
Australia,AUS,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,East Asia & Pacific,18.3726028629721,2022_0
Austria,AUT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Bangladesh,BGD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-51444583.0,2022,WDI,Financial Indicators,South Asia,-17.75601574745359,2022_0
Belgium,BEL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Bosnia and Herzegovina,BIH,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-1499158.0,2022,WDI,Financial Indicators,Europe,-14.220414842173444,2022_0
Bulgaria,BGR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Cote d'Ivoire,CIV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,36807549.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,17.42121354513958,2022_0
Croatia,HRV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Cyprus,CYP,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Czechia,CZE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Denmark,DNK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Estonia,EST,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Fiji,FJI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2022,WDI,Financial Indicators,East Asia & Pacific,0.0,2022_0
Finland,FIN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
France,FRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Georgia,GEO,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-9644033.0,2022,WDI,Financial Indicators,Europe,-16.08185004378507,2022_0
Germany,DEU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Greece,GRC,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Hungary,HUN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Iceland,ISL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Indonesia,IDN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,308085883.0,2022,WDI,Financial Indicators,East Asia & Pacific,19.545889146223885,2022_0
Ireland,IRL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Italy,ITA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Japan,JPN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,East Asia & Pacific,18.3726028629721,2022_0
Kazakhstan,KAZ,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,90502643.0,2022,WDI,Financial Indicators,Central Asia,18.320889623713004,2022_0
Kenya,KEN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,111947080.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,18.53353682652886,2022_0
"Korea, Rep.",KOR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,East Asia & Pacific,18.3726028629721,2022_0
Kosovo,XKX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,254940.0,2022,WDI,Financial Indicators,Europe,12.448787424820786,2022_0
Kyrgyz Republic,KGZ,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,6724463.0,2022,WDI,Financial Indicators,Central Asia,15.721262777673523,2022_0
Latvia,LVA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Lithuania,LTU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Luxembourg,LUX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Malta,MLT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Mauritius,MUS,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8333334.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,-15.935774294164345,2022_0
Moldova,MDA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2022,WDI,Financial Indicators,Europe,0.0,2022_0
Nepal,NPL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,16637363.0,2022,WDI,Financial Indicators,South Asia,16.62716156734706,2022_0
Netherlands,NLD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
North Macedonia,MKD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2022,WDI,Financial Indicators,Europe,0.0,2022_0
Norway,NOR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Pakistan,PAK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-55393099.0,2022,WDI,Financial Indicators,South Asia,-17.829965595224213,2022_0
Philippines,PHL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,190207714.0,2022,WDI,Financial Indicators,East Asia & Pacific,19.06362726981865,2022_0
Poland,POL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Portugal,PRT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Romania,ROU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Rwanda,RWA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-12067500.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,-16.30602652938399,2022_0
Senegal,SEN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,153267070.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,18.84769251972529,2022_0
Slovak Republic,SVK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Slovenia,SVN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
South Africa,ZAF,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,125867376.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,18.65073934708972,2022_0
Spain,ESP,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Sri Lanka,LKA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,110198529.0,2022,WDI,Financial Indicators,South Asia,18.517794115211174,2022_0
Sweden,SWE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Switzerland,CHE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Tajikistan,TJK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,12994293.0,2022,WDI,Financial Indicators,Central Asia,16.380020895993958,2022_0
Thailand,THA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,439308004.0,2022,WDI,Financial Indicators,East Asia & Pacific,19.900711330951623,2022_0
Turkiye,TUR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,326332344.0,2022,WDI,Financial Indicators,Europe,19.60342688322148,2022_0
Uganda,UGA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-27641812.0,2022,WDI,Financial Indicators,Sub-Saharan Africa,-17.134840148055574,2022_0
United Kingdom,GBR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,Europe,18.3726028629721,2022_0
Canada,CAN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,93280687.13333334,2023,WDI,Financial Indicators,North America,18.351123657611858,2023_0
